marker_id,tl_x,tl_y,tl_z,tr_x,tr_y,tr_z,br_x,br_y,br_z,bl_x,bl_y,bl_z,marker_type,apriltag_family
1,-3.3022095142751047,2.552859935634198,-0.40694265103788085,-3.3102174272975855,2.9095595502622085,-0.4140466144626671,-3.311000359957286,2.9026852075468588,-0.7738589140964606,-3.305682852978836,2.545413572016954,-0.7677034149081726,apriltag,tag36h11
2,5.147841687498227,5.746637948950818,-0.8468221242875429,4.793639674391322,5.738592996569816,-0.8496442428286861,4.783345541324044,5.74858956585338,-0.4991137648415671,5.137822172236037,5.759606334249247,-0.4977630592630251,apriltag,tag36h11
3,-3.291322047952229,2.5074163313246975,0.37431521901195475,-3.287653121012673,2.152294342451301,0.35691325561391496,-3.2869133973448674,2.1353437144870107,0.7128315864058832,-3.2868588139443053,2.488526872895732,0.7321458711197031,apriltag,tag36h11
4,3.6352715373889115,-0.48304567058901293,-0.34762862547347506,3.6392982993019274,-0.8399260410647154,-0.35302950554308143,3.638174247725684,-0.8336053490410666,-0.714195661681569,3.6312765002300815,-0.47468224930689473,-0.7056494645021721,apriltag,tag36h11
5,-3.253099580528019,-0.0924325444221974,0.6472356736522415,-3.246267889629725,-0.4520254603910756,0.6503136733123527,-3.2460391047247876,-0.44622553584281244,1.0106365798521524,-3.2496530092040996,-0.08709512630762983,1.008264641997161,apriltag,tag36h11
6,-0.4327726522378229,-1.007577681941866,2.641036598241463,-0.7929168062209835,-1.024115440490026,2.646726281860489,-0.7983026823364803,-1.032780542410769,2.286818129700091,-0.43868850100865453,-1.0224375630224967,2.2815546621615947,apriltag,tag36h11
7,1.6543548316371637,-1.2345278152887018,2.2452906061278908,1.276722469922686,-1.2180638820998584,2.2388824244665253,1.2830658339420984,-1.2341126946033718,1.88011697877455,1.6479980184278464,-1.242388918318051,1.883560932859646,apriltag,tag36h11
9,-3.3410970281876944,3.6301688290029936,1.0942367955973884,-3.341714485006969,3.9832103341887377,1.0923202713815283,-3.3410849916085814,3.979129754974176,0.7353166069918662,-3.3350374910310183,3.6258075061402906,0.7363794707057137,apriltag,tag36h11
10,3.5379190014866166,6.9202527974531876,-0.1881467279051141,3.5474968705822434,6.555548599602662,-0.18965383689873505,3.553823680665147,6.5575741842257,-0.5562241415454905,3.541009717914182,6.921377709823229,-0.5531361980266778,apriltag,tag36h11
17,9.348782393394158,4.483745040921855,0.8634264011182387,9.361477698746874,4.125164280221094,0.8764073408510211,9.373764560194598,4.116008840200774,0.514125214305813,9.361387913857683,4.4744741538552475,0.5012485078929219,apriltag,tag36h11
21,-0.17867784683585086,0.18123283667492873,-0.000955837141102478,0.17881119871990225,0.18001439589496337,0.0009558371411025335,0.1799415687102064,-0.17988104401091132,-0.000955837141102478,-0.18007492059425767,-0.18136618855897924,0.000955837141102367,apriltag,tag36h11
22,9.395407567530771,1.357066554307134,0.9142455497062407,9.41122463898319,0.995932559270837,0.9064091029377113,9.422118063874601,1.0032291962717252,0.5448884112347279,9.4094880110401,1.3651990013932567,0.5527387649966697,apriltag,tag36h11
23,9.378543326487751,2.8829314437843525,2.232031827650936,9.400403624089986,2.5210914997885387,2.2295125237932316,9.393186998232395,2.524087611069091,1.8679243466263964,9.378822279399358,2.885776307346964,1.8706654277121166,apriltag,tag36h11
24,-3.2378482401462314,0.40466123014871247,2.425552780108661,-3.2493610729324995,0.7598690162453314,2.4219181400557828,-3.25262612058361,0.7566047991352967,2.064990762254656,-3.245480417836894,0.40229739348020477,2.0676465555792904,apriltag,tag36h11
25,-1.9925699054092845,1.741534422773707,-0.37194361951046095,-2.342403430316049,1.7544520340774872,-0.35005542896755504,-2.36077840229592,1.7487833278102136,-0.7083840912259834,-2.0098082306889635,1.7382314276048838,-0.7318042212853987,apriltag,tag36h11
26,0.2289673300087376,9.604760473039686,1.529961964556714,0.5931905292666451,9.618265185354112,1.5226155347426675,0.5858596647689063,9.613553448243081,1.1570811336357427,0.21965890471228589,9.602222399264127,1.1638559472647492,apriltag,tag36h11
27,2.211900050675785,9.699322633707112,2.4597043622381607,2.5727927349482753,9.708113167847264,2.463492184129618,2.5791992381026296,9.70508446438906,2.100018226833867,2.2159616553765162,9.69381065673352,2.095490327692528,apriltag,tag36h11
28,2.0303962936285047,9.654296359610203,0.559512425595794,2.391532406523128,9.666566060622635,0.5587622211151158,2.391148529108097,9.65925661500257,0.19605109573239554,2.0318810695637985,9.643095355141352,0.19722057165580642,apriltag,tag36h11
29,3.6289659943919017,-0.4028149877838647,2.1230397264340564,3.6247974365807982,-0.7562501808129811,2.120743744003711,3.626865993230936,-0.7560280648924071,1.7620919793592962,3.636204942098555,-0.40095148647675316,1.7628907205280309,apriltag,tag36h11
30,-0.12757017510956548,0.11036884627842869,-0.09795728048828978,-0.497674266344745,0.15078186791999015,-0.10192048721152924,-0.5287026047848691,-0.22416660248382247,-0.09106712338020151,-0.15511146090290884,-0.26025336126434184,-0.09157362366038724,apriltag,tag36h11
31,9.435885128924207,-0.43455340842890555,1.9767488169307512,9.423152936300419,-0.07072515083344433,1.9768601826584167,9.424551521351143,-0.07127893751289394,2.33787563659198,9.430253512953469,-0.43535297643712756,2.337285059664773,apriltag,tag36h11
32,-3.331870176693661,4.614940623271385,-0.5673385365565833,-3.3145287779621353,4.2675455712497286,-0.5662792107131298,-3.338452333689242,4.273037099370953,-0.20575869902145505,-3.348182611267686,4.622824331494593,-0.21124791029782242,apriltag,tag36h11
33,4.315426861065335,5.807380401116532,1.7920406674259766,3.9536872845406634,5.800234784280033,1.7917599181312085,3.952726636116159,5.806332279345417,2.1551922787458646,4.3152700537253335,5.811108961804413,2.1565374340627317,apriltag,tag36h11
