marker_id,tl_x,tl_y,tl_z,tr_x,tr_y,tr_z,br_x,br_y,br_z,bl_x,bl_y,bl_z,marker_type,apriltag_family
0,-0.4436073031321657,0.4616023595340071,-0.00032948421906375813,0.45033620963957777,0.47153606464912123,0.0003294842190619818,0.44532536617729424,-0.46480715814170737,-0.00032948421906375813,-0.4520542726847072,-0.46833126604141917,0.0003294842190602054,apriltag,tag36h11
1,-1.43630345823428,3.022972776533646,1.024913206421651,-1.621904509707167,3.1861634892704838,1.0298416561898733,-1.4925505562722599,3.3553230869721613,1.076911069576738,-1.3161526751961992,3.1954577508559616,1.074551162119409,apriltag,tag36h11
2,-1.7000734439636096,2.6109330002547697,1.5414681755704418,-1.5709247963121165,2.3664086707643883,1.7142550671995576,-15.538380440855573,-14.636467308915933,24.564766940228196,-1.8364965784773615,2.4070989828165166,1.4515330614284458,apriltag,tag36h11
3,-1.645658415481146,3.2469286994120825,1.0402904659759056,-1.4860437185795394,3.3584857189633306,1.0761543145612436,-1.3250373930615584,3.2296317306079976,1.0795969592362002,-1.486682057891862,3.132632172785506,1.035692579168911,apriltag,tag36h11
4,9.006017104518348,-0.8668513798913762,19.640488320729908,2.8610811736548563,15.456195622748607,27.42505906322247,-2.50790341416821,3.1712381756753936,42.26227244163887,5.207553539021433,-11.114745658455034,33.29097526718679,apriltag,tag36h11
5,1.5724759726216124,5.246702522064819,0.6226582239441729,1.672926811430668,5.60533841643954,0.5852611052135064,1.703776993669444,5.042566141121277,0.7843008461353502,1.4939492990349095,4.721428408934267,0.9500394992212371,apriltag,tag36h11
6,-2.95358113711277,5.100175708331487,0.47302332707338124,-2.122116140773182,5.165971888283799,0.6368054335405269,-1.7075493139439408,4.399958089223271,0.7141832835433224,-2.5112196286359345,4.292559456065084,0.5204747204201574,apriltag,tag36h11
7,-67.31979560664904,-58.63180211811975,-0.5099269792982,-8.238952556407293,-60.994959332131565,-1.148432898100257,-43.58753297621475,-94.63538785047064,-4.33519568591305,-77.81525136480433,-67.42183285507247,-12.618425634999678,apriltag,tag36h11
8,1.8235007657462114,7.63685891663034,-1.5718306420363177,1.6397663576974324,7.597199985468223,-1.728703712422174,1.6114167099948569,7.4157112986617495,-1.5383771594947824,1.7904416172992397,7.425976759706626,-1.3730682936136862,apriltag,tag36h11
9,-14.817108638729794,-7.8796198399223085,40.04747136399786,-16.41944709875882,-7.499283256025295,40.899088423319554,-15.840296722868192,-8.455909744812091,42.2552518346375,-14.390773601062726,-8.783939687318908,41.44149505174022,apriltag,tag36h11
10,0.09273816599678852,6.4321356943557495,0.1451493810029696,-0.4740379129105712,6.357249133888034,0.1488053097733939,-0.4318171123551746,6.378540024354989,0.5145690527539077,0.07016629556487075,6.466782027831793,0.4923071590564465,apriltag,tag36h11
